time=    0, Simulation Start
time=    0, Starting Reset
time=   30, Reset Completed
time=   30, Starting Test mode 11 random entries
Time=35 Error dut: load=x, rco=x, Q=xxxx, scoreboard: load=x, rco=x , Q=xxxx 
Time=1875 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1885 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1895 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1905 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1915 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1925 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1935 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1945 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1955 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1965 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1975 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
time= 1980, Test Reset completed 
time= 1980, Simulation Completed
