time=    0, Simulation Start
time=    0, Starting Reset
time=  240, Reset Completed
time=  240, Starting Test mode 00
Time=5180 Error dut: load=x, rco=z, Q=00000000000000000000000001111011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=5220 Error dut: load=x, rco=z, Q=00000000000000000000000001111011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=5260 Error dut: load=x, rco=z, Q=00000000000000000000000001111101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=5300 Error dut: load=x, rco=z, Q=00000000000000000000000001111101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=5340 Error dut: load=x, rco=z, Q=00000000000000000000000001111111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=5380 Error dut: load=x, rco=z, Q=00000000000000000000000001111111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=5420 Error dut: load=x, rco=z, Q=00000000000000000000000010000001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=5460 Error dut: load=x, rco=z, Q=00000000000000000000000010000001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=5500 Error dut: load=x, rco=z, Q=00000000000000000000000010000011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=5540 Error dut: load=x, rco=z, Q=00000000000000000000000010000011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=5580 Error dut: load=x, rco=z, Q=00000000000000000000000010000101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=5620 Error dut: load=x, rco=z, Q=00000000000000000000000010000101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=5660 Error dut: load=x, rco=z, Q=00000000000000000000000010000111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=5700 Error dut: load=x, rco=z, Q=00000000000000000000000010000111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=5740 Error dut: load=x, rco=z, Q=00000000000000000000000010001001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=5780 Error dut: load=x, rco=z, Q=00000000000000000000000010001001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=5820 Error dut: load=x, rco=z, Q=00000000000000000000000010001011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=5860 Error dut: load=x, rco=z, Q=00000000000000000000000010001011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=5900 Error dut: load=x, rco=z, Q=00000000000000000000000010001101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=5940 Error dut: load=x, rco=z, Q=00000000000000000000000010001101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=5980 Error dut: load=x, rco=z, Q=00000000000000000000000010001111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=6020 Error dut: load=x, rco=z, Q=00000000000000000000000010001111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=6060 Error dut: load=x, rco=z, Q=00000000000000000000000010010001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=6100 Error dut: load=x, rco=z, Q=00000000000000000000000010010001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=6140 Error dut: load=x, rco=z, Q=00000000000000000000000010010011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=6180 Error dut: load=x, rco=z, Q=00000000000000000000000010010011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=6220 Error dut: load=x, rco=z, Q=00000000000000000000000010010101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=6260 Error dut: load=x, rco=z, Q=00000000000000000000000010010101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=6300 Error dut: load=x, rco=z, Q=00000000000000000000000010010111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=6340 Error dut: load=x, rco=z, Q=00000000000000000000000010010111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=6380 Error dut: load=x, rco=z, Q=00000000000000000000000010011001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=6420 Error dut: load=x, rco=z, Q=00000000000000000000000010011001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=6460 Error dut: load=x, rco=z, Q=00000000000000000000000010011011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=6500 Error dut: load=x, rco=z, Q=00000000000000000000000010011011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=6540 Error dut: load=x, rco=z, Q=00000000000000000000000010011101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=6580 Error dut: load=x, rco=z, Q=00000000000000000000000010011101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=6620 Error dut: load=x, rco=z, Q=00000000000000000000000010011111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=6660 Error dut: load=x, rco=z, Q=00000000000000000000000010011111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=6700 Error dut: load=x, rco=z, Q=00000000000000000000000010100001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=6740 Error dut: load=x, rco=z, Q=00000000000000000000000010100001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=6780 Error dut: load=x, rco=z, Q=00000000000000000000000010100011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=6820 Error dut: load=x, rco=z, Q=00000000000000000000000010100011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=6860 Error dut: load=x, rco=z, Q=00000000000000000000000010100101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=6900 Error dut: load=x, rco=z, Q=00000000000000000000000010100101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=6940 Error dut: load=x, rco=z, Q=00000000000000000000000010100111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=6980 Error dut: load=x, rco=z, Q=00000000000000000000000010100111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=7020 Error dut: load=x, rco=z, Q=00000000000000000000000010101001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=7060 Error dut: load=x, rco=z, Q=00000000000000000000000010101001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=7100 Error dut: load=x, rco=z, Q=00000000000000000000000010101011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=7140 Error dut: load=x, rco=z, Q=00000000000000000000000010101011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=7180 Error dut: load=x, rco=z, Q=00000000000000000000000010101101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=7220 Error dut: load=x, rco=z, Q=00000000000000000000000010101101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=7260 Error dut: load=x, rco=z, Q=00000000000000000000000010101111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=7300 Error dut: load=x, rco=z, Q=00000000000000000000000010101111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=7340 Error dut: load=x, rco=z, Q=00000000000000000000000010110001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=7380 Error dut: load=x, rco=z, Q=00000000000000000000000010110001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=7420 Error dut: load=x, rco=z, Q=00000000000000000000000010110011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
