time=    0, Simulation Start
time=    0, Starting Reset
time=  240, Reset Completed
time=  240, Starting Test mode 00
Time=9260 Error dut: load=1, rco=0, Q=0000, scoreboard: load=0, rco=0 , Q=0001 
Time=9340 Error dut: load=0, rco=0, Q=0010, scoreboard: load=0, rco=0 , Q=0011 
Time=9420 Error dut: load=0, rco=0, Q=0100, scoreboard: load=0, rco=0 , Q=0101 
Time=9500 Error dut: load=0, rco=0, Q=0110, scoreboard: load=0, rco=0 , Q=0111 
Time=9580 Error dut: load=0, rco=0, Q=1000, scoreboard: load=0, rco=0 , Q=1001 
Time=9660 Error dut: load=0, rco=0, Q=1010, scoreboard: load=0, rco=0 , Q=1011 
Time=9740 Error dut: load=0, rco=0, Q=1100, scoreboard: load=0, rco=0 , Q=1101 
Time=9820 Error dut: load=0, rco=0, Q=1110, scoreboard: load=0, rco=1 , Q=1111 
Time=9900 Error dut: load=0, rco=0, Q=0000, scoreboard: load=0, rco=0 , Q=0001 
Time=9980 Error dut: load=0, rco=0, Q=0010, scoreboard: load=0, rco=0 , Q=0011 
Time=10060 Error dut: load=0, rco=0, Q=0100, scoreboard: load=0, rco=0 , Q=0101 
Time=10140 Error dut: load=0, rco=0, Q=0110, scoreboard: load=0, rco=0 , Q=0111 
Time=10220 Error dut: load=0, rco=0, Q=1000, scoreboard: load=0, rco=0 , Q=1001 
Time=10300 Error dut: load=0, rco=0, Q=1010, scoreboard: load=0, rco=0 , Q=1011 
Time=10380 Error dut: load=0, rco=0, Q=1100, scoreboard: load=0, rco=0 , Q=1101 
Time=10460 Error dut: load=0, rco=0, Q=1110, scoreboard: load=0, rco=1 , Q=1111 
Time=10540 Error dut: load=0, rco=0, Q=0000, scoreboard: load=0, rco=0 , Q=0001 
Time=10620 Error dut: load=0, rco=0, Q=0010, scoreboard: load=0, rco=0 , Q=0011 
Time=10700 Error dut: load=0, rco=0, Q=0100, scoreboard: load=0, rco=0 , Q=0101 
Time=10780 Error dut: load=0, rco=0, Q=0110, scoreboard: load=0, rco=0 , Q=0111 
Time=10860 Error dut: load=0, rco=0, Q=1000, scoreboard: load=0, rco=0 , Q=1001 
Time=10940 Error dut: load=0, rco=0, Q=1010, scoreboard: load=0, rco=0 , Q=1011 
Time=11020 Error dut: load=0, rco=0, Q=1100, scoreboard: load=0, rco=0 , Q=1101 
Time=11100 Error dut: load=0, rco=0, Q=1110, scoreboard: load=0, rco=1 , Q=1111 
Time=11180 Error dut: load=0, rco=0, Q=0000, scoreboard: load=0, rco=0 , Q=0001 
time=11200, Test mode 00 completed 
time=11200, Simulation Completed
